xuml(37),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2%=0.02,0.0,0.0458295151480326,0.0,0.0,0.0,0.0458295151480326,0.0,0.0,0.0,0.0,0.0,0.0
3%=0.03,0.0,0.1277683089579965,0.0,0.0,0.0,0.08517887726393755,0.0,0.0,0.0,0.0,0.0,0.0
4%=0.04,0.0,0.11933173831785697,0.0,0.0,0.0,0.07955449624652829,0.0,0.0,0.0,0.0,0.0,0.0
5%=0.05,0.0,0.22388059010625033,0.0,0.0,0.0,0.11194029505312517,0.0,0.0,0.0,0.0,0.0,0.0
6%=0.06,0.0,0.31623331331211463,0.0,0.03513703498735777,0.03513703498735777,0.14054813994943108,0.0,0.0,0.0,0.0,0.0,0.0
7%=0.07,0.0,0.3652058445089561,0.0,0.03320053170228135,0.03320053170228135,0.19920318178141047,0.0,0.0,0.0,0.0,0.0,0.0
8%=0.08,0.0,0.4405286430956526,0.03146633146934712,0.06293266293869423,0.06293266293869423,0.25173065175477694,0.0,0.0,0.0,0.0,0.0,0.0
9%=0.09,0.0,0.448564591329243,0.029904306620697277,0.059808613241394554,0.059808613241394554,0.26913875844610186,0.0,0.0,0.0,0.0,0.0,0.0
10%=0.1,0.0,0.4273504255603673,0.028490028853634424,0.05698005770726885,0.05698005770726885,0.25641025864783135,0.0,0.0,0.0,0.0,0.0,0.0
11%=0.11,0.0,0.40805222905348765,0.02720348237720999,0.10881392950883996,0.10881392950883996,0.24483134045136673,0.0,0.0,0.0,0.0,0.0,0.0
12%=0.12,0.0,0.4685059902005245,0.026028110662668205,0.10411244265067282,0.10411244265067282,0.26028109798916604,0.0,0.0,0.0,0.0,0.0,0.0
13%=0.13,0.024950100079261486,0.44910179983933673,0.024950100079261486,0.09980040031704594,0.09980040031704594,0.27445109849082144,0.0,0.0,0.0,0.0,0.0,0.0
14%=0.14,0.02395783446890989,0.47915667474198587,0.02395783446890989,0.09583133787563956,0.09583133787563956,0.26353617696257703,0.0,0.0,0.0,0.0,0.0,0.0
15%=0.15,0.02304147489220739,0.5529953811673919,0.04608294978441478,0.11520737107653999,0.11520737107653999,0.2534562217835831,0.0,0.0,0.0,0.0,0.02304147489220739,0.02304147489220739
