software09,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
ant_main(10)9%=0.09,0.6000000238418579,0.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.8999999761581421
argouml(12)9%=0.09,0.6666666865348816,0.0,0.75,0.9166666865348816,0.9166666865348816,0.75,0.9166666865348816,0.9166666865348816,1.0,1.0,1.0,1.0
gwtportlets(27)9%=0.09,0.3333333432674408,0.07407407462596893,0.25925925374031067,0.3333333432674408,0.3333333432674408,0.25925925374031067,0.37037035822868347,0.25925925374031067,0.25925925374031067,0.29629629850387573,0.29629629850387573,0.37037035822868347
javaclient(57)9%=0.09,0.22807016968727112,0.0,0.22807016968727112,0.12280701845884323,0.12280701845884323,0.19298245012760162,0.07017543911933899,0.07017543911933899,0.07017543911933899,0.12280701845884323,0.15789473056793213,0.19298245012760162
jedit(7)9%=0.09,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
jgap(18)9%=0.09,0.5,0.0,0.3333333432674408,0.2777777910232544,0.2777777910232544,0.3888888955116272,0.3333333432674408,0.3333333432674408,0.2222222238779068,0.2222222238779068,0.3333333432674408,0.3333333432674408
jhotdraw(9)9%=0.09,0.8888888955116272,0.0,0.8888888955116272,1.0,1.0,1.0,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.8888888955116272,1.0,1.0
jmeter_core(14)9%=0.09,0.3571428656578064,0.0,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.2142857164144516,0.3571428656578064,0.5,0.3571428656578064
JPMC(24)9%=0.09,0.0,0.0416666679084301,0.0,0.2083333283662796,0.2083333283662796,0.0,0.0416666679084301,0.0416666679084301,0.0833333358168602,0.0416666679084301,0.0,0.0833333358168602
log4j(9)9%=0.09,0.6666666865348816,0.0,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.7777777910232544,0.7777777910232544,0.7777777910232544
Mars(29)9%=0.09,0.6206896305084229,0.0,0.6206896305084229,0.4137931168079376,0.4137931168079376,0.5862069129943848,0.517241358757019,0.517241358757019,0.517241358757019,0.48275861144065857,0.5862069129943848,0.5517241358757019
Maze(27)9%=0.09,0.2222222238779068,0.18518517911434174,0.18518517911434174,0.25925925374031067,0.25925925374031067,0.29629629850387573,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.29629629850387573,0.29629629850387573
neuroph(24)9%=0.09,0.3333333432674408,0.0,0.2916666567325592,0.375,0.375,0.25,0.375,0.4583333432674408,0.5,0.4166666567325592,0.375,0.4583333432674408
PDFBox(12)9%=0.09,0.8333333134651184,0.0,0.5833333134651184,0.75,0.75,0.6666666865348816,0.8333333134651184,0.6666666865348816,0.6666666865348816,0.75,0.75,0.75
tomcat(28)9%=0.09,0.8214285969734192,0.0,0.7857142686843872,0.4285714328289032,0.4285714328289032,0.8214285969734192,0.6785714030265808,0.5714285969734192,0.4285714328289032,0.6785714030265808,0.75,0.8214285969734192
wro4j(12)9%=0.09,0.8333333134651184,0.0,0.8333333134651184,0.9166666865348816,0.9166666865348816,0.8333333134651184,1.0,1.0,0.8333333134651184,1.0,1.0,1.0
Xerces(6)9%=0.09,0.8333333134651184,0.0,0.8333333134651184,0.5,0.5,0.8333333134651184,0.5,0.1666666716337204,0.0,0.1666666716337204,0.5,0.8333333134651184
xuml(37)9%=0.09,0.0,0.4054054021835327,0.027027027681469917,0.054054055362939835,0.054054055362939835,0.2432432472705841,0.0,0.0,0.0,0.0,0.0,0.0
