Threshold,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-1.0,BiMo-0.85
1%=0.01,0.5,0.5,0.5,0.5,0.5,0.5,0.400000006,0.400000006,0.400000006,0.5,0.5,0.5,0.5,0.5,0.5,0.400000006,0.300000012,0.200000003,0,0.400000006
2%=0.02,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.100000001,0.5
3%=0.03,0.600000024,0.600000024,0.600000024,0.600000024,0.600000024,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.300000012,0.699999988
4%=0.04,0.600000024,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.5,0.800000012
5%=0.05,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012
6%=0.06,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012
7%=0.07,0.800000012,0.800000012,0.800000012,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012
8%=0.08,0.800000012,0.800000012,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012
9%=0.09,0.800000012,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012
10%=0.1,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.800000012,0.800000012,0.800000012
