software08,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
ant_main(10)8%=0.08,0.6000000238418579,0.0,0.20000000298023224,0.5,0.5,0.5,0.6000000238418579,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929
argouml(12)8%=0.08,0.5833333134651184,0.0,0.5833333134651184,0.9166666865348816,0.9166666865348816,0.4166666567325592,0.75,0.75,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816
gwtportlets(27)8%=0.08,0.25925925374031067,0.03703703731298447,0.18518517911434174,0.25925925374031067,0.25925925374031067,0.2222222238779068,0.25925925374031067,0.2222222238779068,0.2222222238779068,0.29629629850387573,0.29629629850387573,0.29629629850387573
javaclient(57)8%=0.08,0.19298245012760162,0.0,0.19298245012760162,0.15789473056793213,0.15789473056793213,0.19298245012760162,0.05263157933950424,0.05263157933950424,0.07017543911933899,0.12280701845884323,0.14035087823867798,0.15789473056793213
jedit(7)8%=0.08,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,0.7142857313156128,1.0,1.0,1.0,1.0,1.0
jgap(18)8%=0.08,0.5,0.0,0.2222222238779068,0.2777777910232544,0.2777777910232544,0.4444444477558136,0.3333333432674408,0.2777777910232544,0.2222222238779068,0.2222222238779068,0.3333333432674408,0.3333333432674408
jhotdraw(9)8%=0.08,0.8888888955116272,0.0,0.8888888955116272,0.8888888955116272,0.8888888955116272,0.8888888955116272,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.8888888955116272,1.0,1.0
jmeter_core(14)8%=0.08,0.2857142984867096,0.0,0.4285714328289032,0.2142857164144516,0.2142857164144516,0.2857142984867096,0.3571428656578064,0.2857142984867096,0.2857142984867096,0.3571428656578064,0.3571428656578064,0.3571428656578064
JPMC(24)8%=0.08,0.0,0.0416666679084301,0.0,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0416666679084301,0.0416666679084301,0.0416666679084301,0.0,0.0833333358168602
log4j(9)8%=0.08,0.6666666865348816,0.0,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.5555555820465088,0.7777777910232544,0.5555555820465088,0.5555555820465088,0.7777777910232544,0.6666666865348816,0.7777777910232544
Mars(29)8%=0.08,0.5862069129943848,0.0,0.5862069129943848,0.4137931168079376,0.4137931168079376,0.517241358757019,0.517241358757019,0.517241358757019,0.517241358757019,0.48275861144065857,0.517241358757019,0.517241358757019
Maze(27)8%=0.08,0.18518517911434174,0.1111111119389534,0.14814814925193787,0.29629629850387573,0.29629629850387573,0.25925925374031067,0.29629629850387573,0.29629629850387573,0.29629629850387573,0.29629629850387573,0.25925925374031067,0.25925925374031067
neuroph(24)8%=0.08,0.25,0.0,0.25,0.2916666567325592,0.2916666567325592,0.125,0.2916666567325592,0.4166666567325592,0.4583333432674408,0.375,0.2916666567325592,0.4166666567325592
PDFBox(12)8%=0.08,0.6666666865348816,0.0,0.5833333134651184,0.75,0.75,0.6666666865348816,0.8333333134651184,0.5833333134651184,0.5833333134651184,0.75,0.75,0.6666666865348816
tomcat(28)8%=0.08,0.7857142686843872,0.0357142873108387,0.7857142686843872,0.4285714328289032,0.4285714328289032,0.75,0.7142857313156128,0.6071428656578064,0.3928571343421936,0.6785714030265808,0.8571428656578064,0.8571428656578064
wro4j(12)8%=0.08,0.8333333134651184,0.0,0.75,0.8333333134651184,0.8333333134651184,0.75,1.0,1.0,0.8333333134651184,1.0,1.0,1.0
Xerces(6)8%=0.08,0.6666666865348816,0.0,0.8333333134651184,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.1666666716337204,0.0,0.1666666716337204,0.3333333432674408,0.8333333134651184
xuml(37)8%=0.08,0.0,0.3243243098258972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
