software24,PrideWithMotifPride,TSPrideWithMotifCoreness
ant_main(10)24,0.5,0.6
argouml(12)24,0.75,0.8333333333333334
gwtportlets(27)24,0.48148148148148145,0.5555555555555556
javaclient(57)24,0.21052631578947367,0.2807017543859649
jedit(7)24,0.8571428571428571,0.8571428571428571
jgap(18)24,0.2222222222222222,0.2222222222222222
jhotdraw(9)24,0.8888888888888888,0.7777777777777778
jmeter_core(14)24,0.2857142857142857,0.42857142857142855
JPMC(24)24,0.041666666666666664,0.125
log4j(9)24,0.3333333333333333,0.3333333333333333
Mars(29)24,0.20689655172413793,0.3103448275862069
Maze(27)24,0.5555555555555556,0.5555555555555556
neuroph(24)24,0.5,0.5416666666666666
PDFBox(12)24,0.25,0.25
tomcat(28)24,0.17857142857142858,0.25
wro4j(12)24,0.8333333333333334,1.0
Xerces(6)24,0.0,0.16666666666666666
xuml(37)24,0.0,0.0
