software12,TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
ant_main(10)12%=0.12,0.8999999761581421,0.800000011920929,0.8999999761581421
argouml(12)12%=0.12,1.0,1.0,1.0
gwtportlets(27)12%=0.12,0.40740740299224854,0.40740740299224854,0.40740740299224854
javaclient(57)12%=0.12,0.28070175647735596,0.24561403691768646,0.28070175647735596
jedit(7)12%=0.12,1.0,1.0,1.0
jgap(18)12%=0.12,0.3333333432674408,0.3888888955116272,0.3888888955116272
jhotdraw(9)12%=0.12,1.0,1.0,1.0
jmeter_core(14)12%=0.12,0.5,0.5,0.5
JPMC(24)12%=0.12,0.125,0.0416666679084301,0.125
log4j(9)12%=0.12,0.7777777910232544,0.8888888955116272,0.7777777910232544
Mars(29)12%=0.12,0.5862069129943848,0.6206896305084229,0.6206896305084229
Maze(27)12%=0.12,0.37037035822868347,0.40740740299224854,0.40740740299224854
neuroph(24)12%=0.12,0.5,0.5416666865348816,0.5416666865348816
PDFBox(12)12%=0.12,0.8333333134651184,0.9166666865348816,0.8333333134651184
tomcat(28)12%=0.12,0.8214285969734192,0.8928571343421936,0.8928571343421936
wro4j(12)12%=0.12,1.0,1.0,1.0
Xerces(6)12%=0.12,0.8333333134651184,0.8333333134651184,0.8333333134651184
xuml(37)12%=0.12,0.0,0.0,0.0
