software03,TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
ant_main(10)3%=0.03,0.6000000238418579,0.699999988079071,0.699999988079071
argouml(12)3%=0.03,0.75,0.75,0.8333333134651184
gwtportlets(27)3%=0.03,0.14814814925193787,0.1111111119389534,0.1111111119389534
javaclient(57)3%=0.03,0.035087719559669495,0.035087719559669495,0.035087719559669495
jedit(7)3%=0.03,0.8571428656578064,0.8571428656578064,0.8571428656578064
jgap(18)3%=0.03,0.1111111119389534,0.1111111119389534,0.1111111119389534
jhotdraw(9)3%=0.03,0.6666666865348816,0.5555555820465088,0.5555555820465088
jmeter_core(14)3%=0.03,0.2142857164144516,0.0714285746216774,0.0714285746216774
JPMC(24)3%=0.03,0.0833333358168602,0.0,0.0
log4j(9)3%=0.03,0.4444444477558136,0.4444444477558136,0.4444444477558136
Mars(29)3%=0.03,0.3448275923728943,0.37931033968925476,0.37931033968925476
Maze(27)3%=0.03,0.1111111119389534,0.1111111119389534,0.1111111119389534
neuroph(24)3%=0.03,0.125,0.2083333283662796,0.1666666716337204
PDFBox(12)3%=0.03,0.3333333432674408,0.3333333432674408,0.5
tomcat(28)3%=0.03,0.3214285671710968,0.3928571343421936,0.4642857015132904
wro4j(12)3%=0.03,0.5833333134651184,0.5833333134651184,0.6666666865348816
Xerces(6)3%=0.03,0.1666666716337204,0.1666666716337204,0.1666666716337204
xuml(37)3%=0.03,0.0,0.0,0.0
