jgap(18),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0555555555555555,0.0,0.0
5,0.0555555555555555,0.0,0.0
6,0.0555555555555555,0.0,0.0555555555555555
7,0.0555555555555555,0.0555555555555555,0.0555555555555555
8,0.0555555555555555,0.0555555555555555,0.0555555555555555
9,0.1111111111111111,0.0555555555555555,0.0555555555555555
10,0.1111111111111111,0.1111111111111111,0.1111111111111111
11,0.1111111111111111,0.1111111111111111,0.1111111111111111
12,0.1111111111111111,0.1111111111111111,0.1111111111111111
13,0.1111111111111111,0.1111111111111111,0.1111111111111111
14,0.1111111111111111,0.1111111111111111,0.1111111111111111
15,0.1111111111111111,0.1111111111111111,0.1111111111111111
16,0.1666666666666666,0.1111111111111111,0.1111111111111111
17,0.1666666666666666,0.1111111111111111,0.1666666666666666
18,0.1666666666666666,0.1666666666666666,0.1666666666666666
19,0.1666666666666666,0.1666666666666666,0.1666666666666666
20,0.2222222222222222,0.1666666666666666,0.1666666666666666
21,0.2222222222222222,0.1666666666666666,0.2222222222222222
22,0.2222222222222222,0.1666666666666666,0.2222222222222222
23,0.2222222222222222,0.1666666666666666,0.2222222222222222
24,0.2222222222222222,0.1666666666666666,0.2222222222222222
25,0.2222222222222222,0.1666666666666666,0.2222222222222222
26,0.2222222222222222,0.1666666666666666,0.2222222222222222
27,0.2222222222222222,0.2222222222222222,0.2222222222222222
28,0.2222222222222222,0.2222222222222222,0.2222222222222222
29,0.2777777777777778,0.2777777777777778,0.2222222222222222
30,0.2777777777777778,0.2777777777777778,0.2222222222222222
