Maze(27),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.037037037037037,0.037037037037037,0.037037037037037
3,0.074074074074074,0.074074074074074,0.074074074074074
4,0.1111111111111111,0.1111111111111111,0.1111111111111111
5,0.1481481481481481,0.1481481481481481,0.1481481481481481
6,0.1851851851851851,0.1851851851851851,0.1851851851851851
7,0.2222222222222222,0.2222222222222222,0.2222222222222222
8,0.2222222222222222,0.2592592592592592,0.2222222222222222
9,0.2592592592592592,0.2592592592592592,0.2592592592592592
10,0.2962962962962963,0.2962962962962963,0.2962962962962963
11,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,0.3703703703703703,0.3703703703703703,0.3703703703703703
13,0.4074074074074074,0.4074074074074074,0.4074074074074074
14,0.4444444444444444,0.4074074074074074,0.4444444444444444
15,0.4814814814814814,0.4444444444444444,0.4814814814814814
16,0.4814814814814814,0.4814814814814814,0.4814814814814814
17,0.4814814814814814,0.4814814814814814,0.4814814814814814
18,0.4814814814814814,0.4814814814814814,0.5185185185185185
19,0.4814814814814814,0.5185185185185185,0.5185185185185185
20,0.4814814814814814,0.5185185185185185,0.5555555555555556
21,0.5185185185185185,0.5185185185185185,0.5555555555555556
22,0.5185185185185185,0.5185185185185185,0.5555555555555556
23,0.5185185185185185,0.5555555555555556,0.5555555555555556
24,0.5185185185185185,0.5555555555555556,0.5555555555555556
25,0.5185185185185185,0.5555555555555556,0.5555555555555556
26,0.5185185185185185,0.5555555555555556,0.5555555555555556
27,0.5185185185185185,0.5555555555555556,0.5555555555555556
28,0.5185185185185185,0.5555555555555556,0.5555555555555556
29,0.5185185185185185,0.5555555555555556,0.5555555555555556
30,0.5555555555555556,0.5555555555555556,0.5925925925925926
