software26,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
ant_main(10)26,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.6
argouml(12)26,0.4166666666666667,0.0,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.8333333333333334,0.8333333333333334
gwtportlets(27)26,0.5185185185185185,0.1111111111111111,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.5185185185185185,0.5555555555555556,0.5185185185185185,0.48148148148148145,0.5555555555555556,0.48148148148148145,0.5555555555555556
javaclient(57)26,0.2631578947368421,0.0,0.22807017543859648,0.22807017543859648,0.22807017543859648,0.2982456140350877,0.10526315789473684,0.07017543859649122,0.10526315789473684,0.21052631578947367,0.2631578947368421,0.3333333333333333
jedit(7)26,0.8571428571428571,0.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
jgap(18)26,0.3333333333333333,0.0,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222
jhotdraw(9)26,0.6666666666666666,0.0,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.7777777777777778
jmeter_core(14)26,0.42857142857142855,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.5714285714285714,0.42857142857142855
JPMC(24)26,0.125,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.0,0.16666666666666666
log4j(9)26,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333
Mars(29)26,0.3103448275862069,0.0,0.2413793103448276,0.27586206896551724,0.27586206896551724,0.2413793103448276,0.3793103448275862,0.2413793103448276,0.2413793103448276,0.3103448275862069,0.3448275862068966,0.3103448275862069
Maze(27)26,0.4444444444444444,0.2962962962962963,0.48148148148148145,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.6296296296296297,0.5185185185185185,0.48148148148148145,0.5925925925925926,0.5555555555555556,0.5555555555555556
neuroph(24)26,0.5,0.041666666666666664,0.5,0.375,0.375,0.2916666666666667,0.5,0.5416666666666666,0.5416666666666666,0.5,0.5,0.5416666666666666
PDFBox(12)26,0.5,0.0,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.25,0.25,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.25
tomcat(28)26,0.2857142857142857,0.0,0.21428571428571427,0.17857142857142858,0.17857142857142858,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.25
wro4j(12)26,0.6666666666666666,0.0,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.9166666666666666,0.9166666666666666,1.0
Xerces(6)26,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
xuml(37)26,0.0,0.32432432432432434,0.0,0.02702702702702703,0.02702702702702703,0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.0
