software04,TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
ant_main(10)4%=0.04,0.800000011920929,0.800000011920929,0.800000011920929
argouml(12)4%=0.04,0.9166666865348816,0.9166666865348816,1.0
gwtportlets(27)4%=0.04,0.1111111119389534,0.14814814925193787,0.14814814925193787
javaclient(57)4%=0.04,0.035087719559669495,0.035087719559669495,0.035087719559669495
jedit(7)4%=0.04,0.8571428656578064,1.0,1.0
jgap(18)4%=0.04,0.1666666716337204,0.1111111119389534,0.1666666716337204
jhotdraw(9)4%=0.04,0.6666666865348816,0.6666666865348816,0.7777777910232544
jmeter_core(14)4%=0.04,0.2142857164144516,0.1428571492433548,0.1428571492433548
JPMC(24)4%=0.04,0.0833333358168602,0.0,0.0416666679084301
log4j(9)4%=0.04,0.5555555820465088,0.5555555820465088,0.5555555820465088
Mars(29)4%=0.04,0.4482758641242981,0.4137931168079376,0.4137931168079376
Maze(27)4%=0.04,0.14814814925193787,0.14814814925193787,0.14814814925193787
neuroph(24)4%=0.04,0.2083333283662796,0.25,0.25
PDFBox(12)4%=0.04,0.4166666567325592,0.6666666865348816,0.5833333134651184
tomcat(28)4%=0.04,0.4642857015132904,0.5357142686843872,0.5714285969734192
wro4j(12)4%=0.04,0.75,0.9166666865348816,0.9166666865348816
Xerces(6)4%=0.04,0.3333333432674408,0.3333333432674408,0.3333333432674408
xuml(37)4%=0.04,0.0,0.0,0.0
