jhotdraw(9),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.1111111111111111,0.1111111111111111
2,0.1111111111111111,0.1111111111111111
3,0.1111111111111111,0.2222222222222222
4,0.1111111111111111,0.2222222222222222
5,0.2222222222222222,0.2222222222222222
6,0.2222222222222222,0.2222222222222222
7,0.2222222222222222,0.2222222222222222
8,0.2222222222222222,0.2222222222222222
9,0.2222222222222222,0.2222222222222222
10,0.2222222222222222,0.2222222222222222
11,0.3333333333333333,0.3333333333333333
12,0.3333333333333333,0.4444444444444444
13,0.3333333333333333,0.5555555555555556
14,0.4444444444444444,0.5555555555555556
15,0.4444444444444444,0.5555555555555556
16,0.4444444444444444,0.5555555555555556
17,0.5555555555555556,0.5555555555555556
18,0.5555555555555556,0.6666666666666666
19,0.5555555555555556,0.6666666666666666
20,0.5555555555555556,0.6666666666666666
21,0.6666666666666666,0.6666666666666666
22,0.7777777777777778,0.6666666666666666
23,0.8888888888888888,0.7777777777777778
24,0.8888888888888888,0.7777777777777778
25,0.8888888888888888,0.7777777777777778
26,0.8888888888888888,0.7777777777777778
27,0.8888888888888888,0.7777777777777778
28,0.8888888888888888,0.8888888888888888
29,0.8888888888888888,0.8888888888888888
30,0.8888888888888888,0.8888888888888888
