software06,BiMo-M,BiMo-B,BiMo
ant_main(10)6%=0.06,0.800000011920929,0.699999988079071,0.699999988079071
argouml(12)6%=0.06,0.9166666865348816,0.8333333134651184,0.9166666865348816
gwtportlets(27)6%=0.06,0.25925925374031067,0.25925925374031067,0.25925925374031067
javaclient(57)6%=0.06,0.08771929889917374,0.07017543911933899,0.08771929889917374
jedit(7)6%=0.06,1.0,1.0,1.0
jgap(18)6%=0.06,0.2222222238779068,0.2222222238779068,0.2222222238779068
jhotdraw(9)6%=0.06,0.8888888955116272,0.8888888955116272,0.8888888955116272
jmeter_core(14)6%=0.06,0.2857142984867096,0.3571428656578064,0.3571428656578064
JPMC(24)6%=0.06,0.0833333358168602,0.0,0.0833333358168602
log4j(9)6%=0.06,0.5555555820465088,0.6666666865348816,0.6666666865348816
Mars(29)6%=0.06,0.48275861144065857,0.4137931168079376,0.4137931168079376
Maze(27)6%=0.06,0.2222222238779068,0.2222222238779068,0.2222222238779068
neuroph(24)6%=0.06,0.3333333432674408,0.375,0.375
PDFBox(12)6%=0.06,0.5,0.75,0.6666666865348816
tomcat(28)6%=0.06,0.6428571343421936,0.7142857313156128,0.75
wro4j(12)6%=0.06,1.0,1.0,1.0
Xerces(6)6%=0.06,0.1666666716337204,0.1666666716337204,0.6666666865348816
xuml(37)6%=0.06,0.0,0.0,0.0
