jhotdraw(9),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.3333333432674408,0.0,0.1111111119389534,0.3333333432674408,0.3333333432674408,0.4444444477558136,0.2222222238779068,0.2222222238779068,0.1111111119389534,0.2222222238779068,0.2222222238779068,0.2222222238779068
2%=0.02,0.4444444477558136,0.0,0.2222222238779068,0.5555555820465088,0.5555555820465088,0.6666666865348816,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.4444444477558136,0.3333333432674408
3%=0.03,0.5555555820465088,0.0,0.4444444477558136,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.4444444477558136,0.5555555820465088,0.4444444477558136,0.4444444477558136,0.5555555820465088,0.5555555820465088
4%=0.04,0.6666666865348816,0.0,0.5555555820465088,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.6666666865348816,0.5555555820465088,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.7777777910232544
5%=0.05,0.6666666865348816,0.0,0.6666666865348816,0.7777777910232544,0.7777777910232544,0.8888888955116272,0.7777777910232544,0.6666666865348816,0.5555555820465088,0.7777777910232544,0.7777777910232544,0.7777777910232544
6%=0.06,0.6666666865348816,0.0,0.6666666865348816,0.8888888955116272,0.8888888955116272,0.8888888955116272,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.8888888955116272,0.8888888955116272
7%=0.07,0.7777777910232544,0.0,0.6666666865348816,0.8888888955116272,0.8888888955116272,0.8888888955116272,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.7777777910232544,1.0,0.8888888955116272
8%=0.08,0.8888888955116272,0.0,0.8888888955116272,0.8888888955116272,0.8888888955116272,1.0,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.8888888955116272,1.0,1.0
9%=0.09,0.8888888955116272,0.0,0.8888888955116272,1.0,1.0,1.0,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.8888888955116272,1.0,1.0
10%=0.1,1.0,0.0,0.8888888955116272,1.0,1.0,1.0,0.7777777910232544,0.7777777910232544,0.7777777910232544,0.8888888955116272,1.0,1.0
11%=0.11,1.0,0.0,1.0,1.0,1.0,1.0,0.7777777910232544,0.7777777910232544,0.7777777910232544,1.0,1.0,1.0
12%=0.12,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888955116272,0.7777777910232544,0.7777777910232544,1.0,1.0,1.0
13%=0.13,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888955116272,0.8888888955116272,0.7777777910232544,1.0,1.0,1.0
14%=0.14,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888955116272,0.8888888955116272,0.7777777910232544,1.0,1.0,1.0
15%=0.15,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888955116272,0.8888888955116272,0.7777777910232544,1.0,1.0,1.0
