PDFBox(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.31771247472687975,0.0,0.15885623736343987,0.07942811868171994,0.07942811868171994,0.15885623736343987,0.07942811868171994,0.0,0.0,0.07942811868171994,0.15885623736343987,0.23828435266084194
2%=0.02,0.31282586027111575,0.0,0.26068821494829253,0.20855057545838102,0.20855057545838102,0.15641293013555788,0.15641293013555788,0.052137643864595254,0.052137643864595254,0.15641293013555788,0.26068821494829253,0.15641293013555788
3%=0.03,0.2328288707799767,0.0,0.19402405790627225,0.2328288707799767,0.2328288707799767,0.2716336804225561,0.19402405790627225,0.1552192482636928,0.1552192482636928,0.1552192482636928,0.2328288707799767,0.2328288707799767
4%=0.04,0.1854140914709518,0.0,0.1854140914709518,0.24721878999400998,0.24721878999400998,0.21631643868336942,0.15451174220942265,0.15451174220942265,0.15451174220942265,0.15451174220942265,0.21631643868336942,0.21631643868336942
5%=0.05,0.15404364569961487,0.0,0.17971758570662724,0.23106546854942234,0.23106546854942234,0.17971758570662724,0.12836970427821737,0.12836970427821737,0.12836970427821737,0.15404364569961487,0.17971758570662724,0.2053915285424099
6%=0.06,0.15371102258646907,0.0,0.15371102258646907,0.1976284584980237,0.1976284584980237,0.17566974157690377,0.10979358770957183,0.10979358770957183,0.13175230566534912,0.17566974157690377,0.17566974157690377,0.17566974157690377
7%=0.07,0.15346249812854848,0.0,0.13427968487547987,0.17264530980241705,0.17264530980241705,0.15346249812854848,0.19182812147628558,0.11509687320161134,0.13427968487547987,0.15346249812854848,0.17264530980241705,0.15346249812854848
8%=0.08,0.13623978243122567,0.0,0.11920980884942825,0.15326975476839239,0.15326975476839239,0.13623978243122567,0.17029972710555907,0.11920980884942825,0.13623978243122567,0.15326975476839239,0.15326975476839239,0.13623978243122567
9%=0.09,0.15311590840754236,0.0,0.10718113578466687,0.13780431786862654,0.13780431786862654,0.12249272732971067,0.1684274999525862,0.12249272732971067,0.12249272732971067,0.13780431786862654,0.13780431786862654,0.13780431786862654
10%=0.1,0.139082058137749,0.0,0.11126564700828716,0.12517385257301808,0.12517385257301808,0.11126564700828716,0.1529902645326265,0.12517385257301808,0.11126564700828716,0.12517385257301808,0.12517385257301808,0.139082058137749
11%=0.11,0.12740476470600842,0.0,0.1019238121827672,0.11466428844438784,0.11466428844438784,0.1019238121827672,0.1401452416642298,0.11466428844438784,0.1019238121827672,0.12740476470600842,0.11466428844438784,0.12740476470600842
12%=0.12,0.12929008012239918,0.0,0.11753643609762904,0.10578279266572638,0.10578279266572638,0.09402914923382372,0.12929008012239918,0.11753643609762904,0.10578279266572638,0.12929008012239918,0.10578279266572638,0.12929008012239918
13%=0.13,0.1199956366925386,0.0,0.10908694212277723,0.09817824806370679,0.09817824806370679,0.10908694212277723,0.13090433075160904,0.10908694212277723,0.09817824806370679,0.1199956366925386,0.09817824806370679,0.1199956366925386
14%=0.14,0.11194789349235121,0.0,0.10177081198291847,0.09159373091797272,0.09159373091797272,0.10177081198291847,0.12212497455729696,0.10177081198291847,0.10177081198291847,0.12212497455729696,0.09159373091797272,0.12212497455729696
15%=0.15,0.10491177886164434,0.0,0.09537434417125978,0.09537434417125978,0.09537434417125978,0.10491177886164434,0.11444921316165951,0.09537434417125978,0.09537434417125978,0.11444921316165951,0.08583690987124463,0.11444921316165951
