neuroph(24),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.1552795074171023,0.0,0.1552795074171023,0.07763975370855115,0.07763975370855115,0.07763975370855115,0.1552795074171023,0.1552795074171023,0.1552795074171023,0.07763975370855115,0.07763975370855115,0.1552795074171023
2%=0.02,0.2180232558139535,0.0,0.14534884098697637,0.14534884098697637,0.14534884098697637,0.2180232558139535,0.29069768197395274,0.2180232558139535,0.2180232558139535,0.14534884098697637,0.2180232558139535,0.29069768197395274
3%=0.03,0.27322405039020026,0.0,0.20491803278688525,0.13661202519510013,0.13661202519510013,0.20491803278688525,0.34153004797045544,0.27322405039020026,0.27322405039020026,0.20491803278688525,0.27322405039020026,0.34153004797045544
4%=0.04,0.32216494251468225,0.0,0.25773196470181253,0.25773196470181253,0.25773196470181253,0.25773196470181253,0.3865979381443299,0.3865979381443299,0.32216494251468225,0.32216494251468225,0.3865979381443299,0.3865979381443299
5%=0.05,0.36585365853658536,0.0,0.36585365853658536,0.36585365853658536,0.36585365853658536,0.2439024443430676,0.426829257655328,0.4878048886861352,0.426829257655328,0.426829257655328,0.426829257655328,0.426829257655328
6%=0.06,0.40509258301108453,0.0,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.28935184706109784,0.46296297254447083,0.46296297254447083,0.5208333333333334,0.46296297254447083,0.40509258301108453,0.5208333333333334
7%=0.07,0.3854625463906763,0.0,0.3303964757709251,0.3854625463906763,0.3854625463906763,0.2753303921380694,0.44052864303663625,0.44052864303663625,0.49559471365638774,0.44052864303663625,0.3854625463906763,0.49559471365638774
8%=0.08,0.42016807511889753,0.0,0.31512605042016806,0.42016807511889753,0.42016807511889753,0.26260503807080326,0.4726890756302521,0.5252100761416065,0.5252100761416065,0.5252100761416065,0.42016807511889753,0.5252100761416065
9%=0.09,0.4016064329129342,0.0,0.3514056152798367,0.45180722891566266,0.45180722891566266,0.30120481927710846,0.5020080249183909,0.5522088425514884,0.6024096385542169,0.5522088425514884,0.45180722891566266,0.5522088425514884
10%=0.1,0.4326923076923077,0.0,0.33653845492552004,0.4326923076923077,0.4326923076923077,0.2884615384615385,0.5288461604590952,0.5288461604590952,0.576923076923077,0.5288461604590952,0.4326923076923077,0.5288461604590952
11%=0.11,0.46125460645913263,0.0,0.3690036961238931,0.46125460645913263,0.46125460645913263,0.322878222695295,0.5073800798877307,0.5535055350553506,0.5996310084839485,0.5535055350553506,0.41512915129151295,0.5535055350553506
12%=0.12,0.443262405726135,0.0,0.398936170212766,0.443262405726135,0.443262405726135,0.31028368232187964,0.5319148936170213,0.5762411459945382,0.6205673646437593,0.5319148936170213,0.48758865810365204,0.5762411459945382
13%=0.13,0.4692832816577343,0.042662116691858425,0.4692832816577343,0.4266211552023339,0.4266211552023339,0.3412969335348674,0.5546075189468678,0.5972696141589339,0.6399317406143346,0.5119453924914675,0.4692832816577343,0.5972696141589339
14%=0.14,0.4934210526315789,0.04111842165728179,0.4934210526315789,0.45230263641614904,0.45230263641614904,0.3289473732582543,0.5345394833586138,0.6167763157894737,0.6578947465165086,0.5345394833586138,0.4934210526315789,0.5756578850624384
15%=0.15,0.47619047619047616,0.03968254024569769,0.47619047619047616,0.4365079410132006,0.4365079410132006,0.3174603219655815,0.5555555465450271,0.5952380952380952,0.634920643931163,0.5158730248835439,0.5158730248835439,0.5952380952380952
