jgap(18),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.09025270812742921,0.0,0.09025270812742921,0.09025270812742921,0.09025270812742921,0.0,0.0,0.0,0.09025270812742921,0.0,0.0,0.0
2%=0.02,0.07598784233247582,0.0,0.07598784233247582,0.15197568466495165,0.15197568466495165,0.15197568466495165,0.07598784233247582,0.07598784233247582,0.15197568466495165,0.07598784233247582,0.07598784233247582,0.07598784233247582
3%=0.03,0.26246719275589214,0.0,0.13123359637794607,0.13123359637794607,0.13123359637794607,0.26246719275589214,0.13123359637794607,0.13123359637794607,0.13123359637794607,0.13123359637794607,0.13123359637794607,0.13123359637794607
4%=0.04,0.34642032869036776,0.0,0.17321016434518388,0.17321016434518388,0.17321016434518388,0.23094688311121217,0.11547344155560609,0.11547344155560609,0.11547344155560609,0.17321016434518388,0.17321016434518388,0.17321016434518388
5%=0.05,0.3092783547914905,0.0,0.15463917739574526,0.15463917739574526,0.15463917739574526,0.20618556772298038,0.15463917739574526,0.15463917739574526,0.15463917739574526,0.15463917739574526,0.15463917739574526,0.15463917739574526
6%=0.06,0.27932961242653803,0.0,0.13966480621326902,0.23277467876611033,0.23277467876611033,0.18621973987369675,0.18621973987369675,0.13966480621326902,0.13966480621326902,0.13966480621326902,0.18621973987369675,0.13966480621326902
7%=0.07,0.33955857482042345,0.0,0.12733446664489662,0.25466893328979323,0.25466893328979323,0.25466893328979323,0.2122241125244781,0.16977928741021173,0.16977928741021173,0.12733446664489662,0.2122241125244781,0.2122241125244781
8%=0.08,0.35101404056162244,0.0,0.19500780357598543,0.2340093628223947,0.2340093628223947,0.273010922068804,0.2340093628223947,0.19500780357598543,0.1560062406576066,0.1560062406576066,0.2340093628223947,0.2340093628223947
9%=0.09,0.3246753246753247,0.0,0.21645021854460578,0.3246753246753247,0.3246753246753247,0.25252525392151204,0.21645021854460578,0.21645021854460578,0.1443001446492092,0.1443001446492092,0.25252525392151204,0.21645021854460578
10%=0.1,0.3020134228187919,0.0,0.3020134228187919,0.33557047463124884,0.33557047463124884,0.2684563764430001,0.20134228369141632,0.20134228369141632,0.16778523731562442,0.16778523731562442,0.23489933006720823,0.20134228369141632
11%=0.11,0.31367629029533417,0.0,0.31367629029533417,0.31367629029533417,0.31367629029533417,0.28230865746549566,0.1882057732271242,0.1882057732271242,0.15683814514766709,0.1882057732271242,0.2195734013065814,0.2195734013065814
12%=0.12,0.32391048199079603,0.0,0.29446407910395367,0.29446407910395367,0.29446407910395367,0.32391048199079603,0.20612485369824993,0.17667844662511337,0.17667844662511337,0.17667844662511337,0.20612485369824993,0.20612485369824993
13%=0.13,0.33296337650687385,0.0,0.33296337650687385,0.27746948166140334,0.27746948166140334,0.33296337650687385,0.19422863567617216,0.16648168825343693,0.16648168825343693,0.16648168825343693,0.19422863567617216,0.19422863567617216
14%=0.14,0.34102833010782263,0.0,0.34102833010782263,0.2885624336793048,0.2885624336793048,0.34102833010782263,0.18363064082226913,0.18363064082226913,0.15739769260801023,0.15739769260801023,0.18363064082226913,0.18363064082226913
15%=0.15,0.3731343263665189,0.0,0.34825870779545504,0.2736318401321232,0.2736318401321232,0.323383083249321,0.17412935389772752,0.17412935389772752,0.14925373233912861,0.17412935389772752,0.19900497545632648,0.17412935389772752
