ant_main(10),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
8%=0.09,1.0,1.0,1.0
9%=0.10,1.0,1.0,1.0
10%=0.11,1.0,1.0,1.0
11%=0.12,1.0,1.0,1.0
12%=0.13,1.0,1.0,1.0
13%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
1%=0.01,0.0555555555555555,0.0,0.0
1%=0.02,0.1111111111111111,0.0555555555555555,0.0555555555555555
3%=0.03,0.1111111111111111,0.1111111111111111,0.1111111111111111
3%=0.04,0.1666666666666666,0.1111111111111111,0.1666666666666666
5%=0.05,0.2222222222222222,0.1666666666666666,0.2222222222222222
5%=0.06,0.2222222222222222,0.1666666666666666,0.2222222222222222
6%=0.07,0.2777777777777778,0.2777777777777778,0.2222222222222222
7%=0.08,0.3333333333333333,0.3333333333333333,0.2777777777777778
8%=0.09,0.3333333333333333,0.3333333333333333,0.3333333333333333
9%=0.10,0.3333333333333333,0.3333333333333333,0.3888888888888889
10%=0.11,0.3333333333333333,0.3888888888888889,0.3888888888888889
11%=0.12,0.3888888888888889,0.3888888888888889,0.3888888888888889
12%=0.13,0.3888888888888889,0.3888888888888889,0.3888888888888889
13%=0.14,0.3888888888888889,0.3888888888888889,0.3888888888888889
15%=0.15,0.4444444444444444,0.3888888888888889,0.3888888888888889
1%=0.01,0.2222222222222222,0.2222222222222222,0.2222222222222222
1%=0.02,0.3333333333333333,0.2222222222222222,0.2222222222222222
3%=0.03,0.6666666666666666,0.5555555555555556,0.5555555555555556
3%=0.04,0.6666666666666666,0.6666666666666666,0.6666666666666666
5%=0.05,0.7777777777777778,0.7777777777777778,0.7777777777777778
5%=0.06,0.8888888888888888,0.8888888888888888,0.8888888888888888
6%=0.07,0.8888888888888888,0.8888888888888888,0.8888888888888888
7%=0.08,0.8888888888888888,1.0,1.0
8%=0.09,1.0,1.0,1.0
9%=0.10,1.0,1.0,1.0
10%=0.11,1.0,1.0,1.0
11%=0.12,1.0,1.0,1.0
12%=0.13,1.0,1.0,1.0
13%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
