gwtportlets(27),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.03703703731298447,0.03703703731298447,0.03703703731298447
2%=0.02,0.1111111119389534,0.1111111119389534,0.07407407462596893
3%=0.03,0.1111111119389534,0.1111111119389534,0.1111111119389534
4%=0.04,0.1111111119389534,0.14814814925193787,0.14814814925193787
5%=0.05,0.14814814925193787,0.2222222238779068,0.2222222238779068
6%=0.06,0.14814814925193787,0.2222222238779068,0.2222222238779068
7%=0.07,0.18518517911434174,0.2222222238779068,0.2222222238779068
8%=0.08,0.18518517911434174,0.2222222238779068,0.25925925374031067
9%=0.09,0.25925925374031067,0.29629629850387573,0.29629629850387573
10%=0.1,0.29629629850387573,0.3333333432674408,0.29629629850387573
11%=0.11,0.3333333432674408,0.3333333432674408,0.3333333432674408
12%=0.12,0.37037035822868347,0.40740740299224854,0.40740740299224854
13%=0.13,0.40740740299224854,0.40740740299224854,0.40740740299224854
14%=0.14,0.4444444477558136,0.4444444477558136,0.4444444477558136
15%=0.15,0.48148149251937866,0.4444444477558136,0.4444444477558136
