software25,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)25,0.7,0.6,0.6
argouml(12)25,0.6666666666666666,0.75,0.8333333333333334
gwtportlets(27)25,0.5555555555555556,0.4814814814814814,0.5555555555555556
javaclient(57)25,0.3157894736842105,0.2280701754385964,0.3333333333333333
jedit(7)25,0.8571428571428571,0.8571428571428571,0.8571428571428571
jgap(18)25,0.2222222222222222,0.1666666666666666,0.2222222222222222
jhotdraw(9)25,0.7777777777777778,0.7777777777777778,0.7777777777777778
jmeter_core(14)25,0.3571428571428571,0.3571428571428571,0.4285714285714285
JPMC(24)25,0.125,0.1666666666666666,0.125
log4j(9)25,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mars(29)25,0.3103448275862069,0.3103448275862069,0.3103448275862069
Maze(27)25,0.5185185185185185,0.5555555555555556,0.5555555555555556
neuroph(24)25,0.5416666666666666,0.5833333333333334,0.5416666666666666
PDFBox(12)25,0.25,0.25,0.25
tomcat(28)25,0.2857142857142857,0.2142857142857142,0.25
wro4j(12)25,0.9166666666666666,0.9166666666666666,1.0
Xerces(6)25,0.1666666666666666,0.1666666666666666,0.1666666666666666
xuml(37)25,0.0,0.0,0.0
