software28,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)28,0.7,0.7,0.7
argouml(12)28,0.75,0.8333333333333334,0.8333333333333334
gwtportlets(27)28,0.5925925925925926,0.5555555555555556,0.5925925925925926
javaclient(57)28,0.3157894736842105,0.2280701754385964,0.3333333333333333
jedit(7)28,0.8571428571428571,0.8571428571428571,0.8571428571428571
jgap(18)28,0.2222222222222222,0.2222222222222222,0.2222222222222222
jhotdraw(9)28,0.7777777777777778,0.7777777777777778,0.7777777777777778
jmeter_core(14)28,0.3571428571428571,0.4285714285714285,0.5
JPMC(24)28,0.1666666666666666,0.2083333333333333,0.2083333333333333
log4j(9)28,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mars(29)28,0.3103448275862069,0.3103448275862069,0.3103448275862069
Maze(27)28,0.5185185185185185,0.5555555555555556,0.5555555555555556
neuroph(24)28,0.5416666666666666,0.625,0.5416666666666666
PDFBox(12)28,0.25,0.25,0.25
tomcat(28)28,0.2857142857142857,0.25,0.25
wro4j(12)28,1.0,1.0,1.0
Xerces(6)28,0.1666666666666666,0.1666666666666666,0.1666666666666666
xuml(37)28,0.0,0.0,0.0
